Name,Given Name,Group Membership,Phone 1 - Type,Phone 1 - Value
PC - Fletes Acarreos YAV,PC - Fletes Acarreos YAV,PC Negocios,Mobile,+522299254001
PC - Empeño Facil El Tejar,PC - Empeño Facil El Tejar,PC Negocios,Mobile,+529932205294
PC - Depositos de Material Veracruz DMV,PC - Depositos de Material Veracruz DMV,PC Negocios,Mobile,+522292139439
PC - Colegio Lohmann del Golfo,PC - Colegio Lohmann del Golfo,PC Negocios,Mobile,+522299571124
PC - Soriana,PC - Soriana,PC Negocios,Mobile,+522281057885
"PC - Carne Enchilada ""Chente - Maria""","PC - Carne Enchilada ""Chente - Maria""",PC Negocios,Mobile,+522292083205
PC - SJS Medica,PC - SJS Medica,PC Negocios,Mobile,+522294757220
PC - Farma Pronto,PC - Farma Pronto,PC Negocios,Mobile,+525550094049
PC - Pollos a la leña Luna,PC - Pollos a la leña Luna,PC Negocios,Mobile,+522292954823
PC - Bertha Von Glumer,PC - Bertha Von Glumer,PC Negocios,Mobile,+522291549309
PC - Vitrus Procesos Industriales,PC - Vitrus Procesos Industriales,PC Negocios,Mobile,+522291099702
PC - Farmacia Yza El Tejar,PC - Farmacia Yza El Tejar,PC Negocios,Mobile,+522294757220
PC - MacroPlay,PC - MacroPlay,PC Negocios,Mobile,+522291208864
PC - Abarrotes Los Primos,PC - Abarrotes Los Primos,PC Negocios,Mobile,+522293990019
PC - Taqueria El Buen Hermano,PC - Taqueria El Buen Hermano,PC Negocios,Mobile,+522292251561
PC - Estetica Jagg,PC - Estetica Jagg,PC Negocios,Mobile,+522291911253
PC - Tacon Madre,PC - Tacon Madre,PC Negocios,Mobile,+522291404018
PC - Carniceria Los Nietos,PC - Carniceria Los Nietos,PC Negocios,Mobile,+522291838573
PC - Dial Farmacias,PC - Dial Farmacias,PC Negocios,Mobile,+522294185588
PC - Farmadino,PC - Farmadino,PC Negocios,Mobile,+522292216478
PC - Mr. Burger,PC - Mr. Burger,PC Negocios,Mobile,+522291864999
PC - Tacos Beny,PC - Tacos Beny,PC Negocios,Mobile,+522291291666
PC - Abarrotes Omar,PC - Abarrotes Omar,PC Negocios,Mobile,+522291075984
"PC - Grupo Mas San Ramon, Puente Moreno, Casa Blanca","PC - Grupo Mas San Ramon, Puente Moreno, Casa Blanca",PC Negocios,Mobile,+522293653768
PC - Limpia Mas Facil,PC - Limpia Mas Facil,PC Negocios,Mobile,+522291548280
PC - Banco Compartamos,PC - Banco Compartamos,PC Negocios,Mobile,+525552767250
PC - Provedora de Alimentos Gigio Nojales,PC - Provedora de Alimentos Gigio Nojales,PC Negocios,Mobile,+522294615791
PC - Provedora de Alimentos Gigio Las Joyas,PC - Provedora de Alimentos Gigio Las Joyas,PC Negocios,Mobile,+522295194163
PC - Bodega Rey Humberto,PC - Bodega Rey Humberto,PC Negocios,Mobile,+522299849619
PC - Rancho Sta Rita,PC - Rancho Sta Rita,PC Negocios,Mobile,+522291449424
PC - Empeño Facil Suc. Puente Moreno,PC - Empeño Facil Suc. Puente Moreno,PC Negocios,Mobile,+522294757220
PC - Gasolinera Medellin 1 (Valero - Crucero),PC - Gasolinera Medellin 1 (Valero - Crucero),PC Negocios,Mobile,+522299602512
PC - Gasolinera Medellin 1 S.A De C.V Valero 2,PC - Gasolinera Medellin 1 S.A De C.V Valero 2,PC Negocios,Mobile,+525538503507
PC - Barcel Ceve Boca del Rio,PC - Barcel Ceve Boca del Rio,PC Negocios,Mobile,+528009102030
PC - Escuela Bachilleres Ignacio Manuel Altamirano,PC - Escuela Bachilleres Ignacio Manuel Altamirano,PC Negocios,Mobile,+522297819781
PC - Yungla Pizza Suc. Puente Moreno,PC - Yungla Pizza Suc. Puente Moreno,PC Negocios,Mobile,+522292508904
PC - Prolimp,PC - Prolimp,PC Negocios,Mobile,+522291351955
PC - Gasolineria HKCD,PC - Gasolineria HKCD,PC Negocios,Mobile,+522294046425
PC - Domino´s Pizza Operadora Rofar S.A De S.V,PC - Domino´s Pizza Operadora Rofar S.A De S.V,PC Negocios,Mobile,+529611159853
"PC - Colegio Evergreen ""Terra nova""","PC - Colegio Evergreen ""Terra nova""",PC Negocios,Mobile,+522291099702
PC - Colegio Medellin,PC - Colegio Medellin,PC Negocios,Mobile,+522291099702
PC - Farmacias Guadalajara,PC - Farmacias Guadalajara,PC Negocios,Mobile,+522291099702
